assay	experiment_ID	orf_name_a	orf_name_b	orf_name_f1	orf_name_f2	F1_CCSB_ORF_ID	F2_CCSB_ORF_ID	source_dataset	score	result_at_0_RRS
GPCA	Sv01	YKL093W	YML021C	YKL093W	YML021C	1749	1283	scRRS-v2	9.722807531169547	False
GPCA	Sv01	YML021C	YNL313C	YML021C	YNL313C	1283	3620	GI_PSN_PCC_gt_0.3	9.99859042974533	False
GPCA	Sv01	YGR002C	YNL107W	YGR002C	YNL107W	1523	1287	CYC2008	13.56271942704932	False
GPCA	Sv01	YGR002C	YNL107W	YGR002C	YNL107W	1523	1287	Lit-BM-13	13.56271942704932	False
GPCA	Sv01	YAL011W	YNL107W	YNL107W	YAL011W	1287	1752	CYC2008	11.75697322616545	False
GPCA	Sv01	YNL107W	YPR023C	YPR023C	YNL107W	1879	1287	CYC2008	9.710806433699352	False
GPCA	Sv01	YDR359C	YNL107W	YNL107W	YDR359C	1287	2411	CYC2008	9.599912842187129	False
GPCA	Sv01	YKR022C	YNL107W	YKR022C	YNL107W	2478	1287	YeRI	13.530406337099068	False
GPCA	Sv01	YDR334W	YNL107W	YDR334W	YNL107W	3019	1287	CYC2008	9.333155350310617	False
GPCA	Sv01	YHR090C	YNL107W	YNL107W	YHR090C	1287	3696	CYC2008		
GPCA	Sv01	YEL018W	YNL107W	YNL107W	YEL018W	1287	4074	CYC2008	11.145932145820517	False
GPCA	Sv01	YNL107W	YNL136W	YNL136W	YNL107W	4148	1287	CYC2008	10.027905996569885	False
GPCA	Sv01	YKL103C	YNL107W	YKL103C	YNL107W	4579	1287	CCSB-YI1	10.824163209744158	False
GPCA	Sv01	YNL107W	YOR244W	YOR244W	YNL107W	4794	1287	CYC2008	9.118941072723507	False
GPCA	Sv01	YJL081C	YNL107W	YNL107W	YJL081C	1287	5076	CYC2008		
GPCA	Sv01	YML048W	YMR153W	YMR153W	YML048W	1858	1290	YeRI	14.642841438033619	False
GPCA	Sv01	YML048W	YPR159W	YML048W	YPR159W	1290	2560	YeRI		
GPCA	Sv01	YGL209W	YML128C	YML128C	YGL209W	1291	3368	YeRI	9.221587121264806	False
GPCA	Sv01	YGR057C	YLR376C	YLR376C	YGR057C	1293	3009	YeRI	9.560332834212442	False
GPCA	Sv01	YIL132C	YLR376C	YIL132C	YLR376C	3277	1293	Ito-core	15.850455461834267	True
GPCA	Sv01	YIL152W	YLR376C	YIL152W	YLR376C	5519	1293	YeRI	9.189824558880018	False
GPCA	Sv01	YLR240W	YLR360W	YLR240W	YLR360W	2943	1294	CYC2008	9.438791852578262	False
GPCA	Sv01	YLR360W	YOR089C	YOR089C	YLR360W	3794	1294	GI_PSN_PCC_gt_0.3	9.813781191217037	False
GPCA	Sv01	YLR360W	YPL120W	YLR360W	YPL120W	1294	4388	CYC2008	12.451983777230192	False
GPCA	Sv01	YLR360W	YPL120W	YLR360W	YPL120W	1294	4388	GI_PSN_PCC_gt_0.5	12.451983777230192	False
GPCA	Sv01	YLR360W	YOR068C	YOR068C	YLR360W	4715	1294	GI_PSN_PCC_gt_0.2	10.656424863277781	False
GPCA	Sv01	YLR356W	YOL026C	YLR356W	YOL026C	602	129	YeRI	9.118941072723507	False
