orf_name	screened_as_AD	screened_as_DB
YDR288W	True	True
YDR289C	True	True
YDR290W	True	True
YDR291W	True	False
YDR292C	True	True
YDR294C	True	True
YDR295C	True	True
YDR296W	False	True
YDR297W	True	True
YDR298C	True	True
YDR299W	True	False
YDR300C	True	True
YDR303C	True	False
YDR304C	True	True
YDR306C	True	True
YDR307W	True	True
YDR308C	True	False
YDR309C	True	True
YDR310C	True	False
YDR311W	True	False
YDR312W	True	True
YDR313C	True	False
YDR314C	True	True
YDR315C	True	True
YDR317W	True	True
YDR318W	True	False
YDR319C	True	True
YDR320C	True	True
YDR320C-A	True	True
YDR321W	False	True
YDR322C-A	True	False
YDR322W	True	True
YDR323C	True	False
YDR324C	True	False
YDR326C	True	True
YDR327W	True	True
YDR328C	True	True
YDR329C	True	True
YDR330W	True	False
YDR331W	True	True
YDR332W	True	True
YDR333C	True	False
YDR335W	True	True
YDR337W	True	True
YDR338C	True	True
YDR339C	True	False
YDR341C	True	True
YDR344C	True	True
YDR345C	True	False
YDR346C	True	True
YDR347W	True	True
YDR348C	True	True
YDR351W	True	True
YDR352W	True	False
YDR353W	True	True
YDR354C-A	True	True
YDR354W	True	True
YDR355C	True	True
YDR356W	True	True
YDR357C	True	True
YDR358W	True	True
YDR361C	True	True
YDR362C	True	False
YDR363W	True	True
YDR363W-A	True	False
YDR364C	True	True
YDR366C	True	True
YDR367W	True	True
YDR368W	True	True
YDR369C	True	True
YDR370C	True	False
YDR371W	True	True
YDR372C	True	False
YDR373W	True	True
YDR374C	True	True
YDR375C	True	False
YDR376W	True	True
YDR377W	True	False
YDR378C	True	True
YDR379C-A	True	True
YDR379W	True	False
YDR380W	True	True
YDR381C-A	True	False
YDR382W	True	False
YDR383C	True	False
YDR384C	True	True
YDR386W	True	False
YDR387C	True	True
YDR388W	True	True
YDR389W	True	True
YDR390C	True	True
YDR391C	True	True
YDR392W	True	False
YDR393W	True	True
YDR395W	True	False
YDR396W	True	False
YDR397C	True	True
YDR399W	True	True
YDR400W	True	True
YDR401W	True	True
YDR402C	True	True
YDR403W	True	True
YDR404C	True	False
YDR405W	True	True
YDR407C	True	False
YDR408C	True	True
YDR410C	True	False
YDR411C	True	True
YDR412W	True	True
YDR413C	True	True
YDR414C	True	True
YDR415C	True	True
YDR416W	True	False
YDR417C	True	True
YDR418W	True	True
YDR421W	True	False
YDR422C	False	True
YDR423C	True	False
YDR424C	True	True
YDR425W	True	True
YDR427W	True	True
YDR428C	True	False
YDR429C	True	False
YDR430C	False	True
YDR431W	True	True
YDR432W	True	True
YDR433W	True	True
YDR434W	True	True
YDR435C	True	True
YDR436W	True	True
YDR437W	False	True
YDR439W	True	True
YDR441C	True	True
YDR442W	True	True
YDR443C	True	False
YDR444W	True	True
YDR445C	True	True
YDR446W	True	True
YDR447C	True	True
YDR448W	True	False
YDR449C	True	False
YDR450W	True	False
YDR451C	True	True
YDR452W	True	True
YDR453C	True	True
YDR454C	True	True
YDR455C	True	True
YDR456W	True	False
YDR459C	True	True
YDR460W	True	True
YDR461W	True	False
YDR462W	True	True
YDR463W	True	False
YDR464C-A	True	True
YDR465C	True	False
YDR466W	True	True
YDR467C	True	True
YDR468C	True	False
YDR469W	True	False
YDR472W	True	False
YDR473C	True	True
YDR474C	True	True
YDR476C	True	True
YDR477W	True	True
YDR478W	True	True
YDR479C	True	False
YDR480W	True	True
YDR481C	True	True
YDR482C	True	True
YDR483W	True	True
YDR484W	True	False
YDR485C	True	True
YDR486C	True	True
YDR487C	False	True
YDR488C	True	True
YDR489W	True	False
YDR491C	True	True
YDR492W	True	True
YDR493W	True	True
YDR494W	True	False
YDR498C	True	True
YDR499W	True	True
YDR500C	True	True
YDR501W	True	True
YDR502C	True	True
YDR504C	True	True
YDR505C	True	False
YDR506C	True	True
YDR507C	True	False
YDR508C	False	True
YDR509W	True	True
YDR510C-A	True	True
YDR510W	True	True
YDR511W	True	True
YDR512C	True	True
YDR513W	True	True
YDR514C	True	True
YDR515W	True	True
YDR517W	True	True
YDR518W	True	True
YDR519W	True	True
YDR520C	True	True
YDR521W	True	True
YDR522C	True	True
YDR523C	True	True
YDR524C	True	True
YDR524C-A	True	False
YDR525W	True	True
YDR525W-A	True	True
YDR526C	True	True
YDR527W	True	False
YDR528W	True	True
YDR529C	True	True
YDR530C	True	False
YDR531W	True	True
YDR532C	True	False
YDR533C	True	True
YDR534C	True	True
YDR535C	True	True
YDR536W	True	True
YDR537C	True	True
YDR538W	True	True
YDR540C	True	True
YDR541C	True	True
YDR543C	True	True
YEL001C	True	True
YEL002C	True	True
YEL003W	True	True
YEL004W	True	True
YEL005C	True	True
YEL006W	True	True
YEL008C-A	True	True
YEL008W	True	True
YEL009C	True	False
YEL010W	True	True
YEL011W	True	False
YEL012W	True	False
YEL014C	True	False
YEL016C	True	False
YEL017C-A	True	False
YEL017W	False	True
YEL018W	True	False
YEL019C	True	False
YEL020C	True	True
YEL020W-A	True	True
YEL022W	True	False
YEL023C	True	True
YEL024W	True	True
YEL025C	True	True
YEL026W	True	True
YEL027W	True	True
YEL029C	True	True
YEL030C-A	True	True
YEL030W	True	True
YEL032C-A	True	True
YEL032W	True	True
YEL033W	True	True
YEL034W	True	True
YEL035C	True	True
YEL036C	True	True
YEL037C	True	False
YEL038W	True	True
YEL039C	True	True
YEL040W	True	True
YEL041W	True	True
YEL042W	True	True
YEL043W	True	True
YEL044W	True	True
YEL045C	True	True
YEL046C	True	False
YEL047C	True	True
YEL048C	True	False
YEL049W	True	False
YEL050C	True	True
YEL051W	True	True
YEL052W	True	True
YEL053C	True	True
YEL054C	True	True
