orf_name	GenBank_accession	orf_space	in_db_space	in_ad_space
YKL004W	DQ333000	II	1	1
YKL003C	EF059107	II	1	1
YKL002W		III	1	1
YKL001C	AY558261	II	1	1
YKR001C		III	1	1
YKR002W	DQ332037	II	1	1
YKR003W	DQ332049	II	1	1
YKR004C		III	1	1
YKR005C	AY558315	II	1	1
YKR006C	EF059241	II	1	1
YKR007W		III	1	1
YKR008W	AY693123	II	1	1
YKR009C	DQ332406	II	1	1
YKR010C	DQ332144	II	1	1
YKR011C	DQ331098	II	1	1
YKR013W	EF059438	II	1	1
YKR014C	DQ333156	II	1	1
YKR015C	EF058428	II	1	1
YKR016W	DQ332764	II	1	1
YKR017C	DQ331229	II	1	1
YKR018C	DQ331232	II	1	1
YKR019C		III	1	1
YKR020W	AY558556	II	1	1
YKR021W	DQ331219	II	1	1
YKR022C	DQ331248	II	1	1
YKR023W	EF058503	II	1	1
YKR024C	DQ331612	II	1	1
YKR025W	AY692886	II	1	1
YKR026C	DQ331796	II	0	1
YKR027W	DQ331320	II	1	1
YKR028W		III	0	1
YKR029C		III	1	1
YKR030W	EF058957	II	1	1
YKR031C	DQ331756	II	1	1
YKR032W		III	1	1
YKR034W		III	1	1
YKR035W-A	DQ332205	II	1	1
YKR036C		III	0	1
YKR037C	DQ332010	II	1	1
YKR038C	DQ332028	II	1	1
YKR039W	AY723840	II	1	1
YKR041W	DQ331069	II	1	1
YKR042W	EF059313	II	1	1
YKR043C	DQ332740	II	1	1
YKR044W	AY723841	II	1	1
YKR045C	AY558179	II	1	1
YKR046C	DQ331166	II	1	1
YKR048C	AY692777	II	1	1
YKR049C	AY558316	II	1	1
YKR050W		III	1	1
YKR051W	AY692640	II	1	1
YKR052C	DQ332835	II	1	1
YKR053C	DQ331470	II	1	1
YKR054C		III	0	1
YKR055W	AY557909	II	0	1
YKR056W	DQ331644	II	1	1
YKR057W		III	1	1
YKR058W	EF058980	II	1	1
YKR059W	DQ331786	II	1	1
YKR060W	AY557907	II	1	1
YKR061W	DQ331893	II	1	1
YKR062W	DQ332971	II	0	1
YKR063C	AY723842	II	1	1
YKR064W		III	0	1
YKR065C	EF058321	II	1	1
YKR066C	AY557921	II	1	1
YKR067W	EF059240	II	1	1
YKR068C	AY557896	II	1	1
YKR069W	EF059253	II	1	1
YKR070W	DQ331263	II	1	1
YKR071C	DQ332877	II	1	1
YKR072C	EF058950	II	1	1
YKR073C	AY558317	II	1	1
YKR074W	AY558396	II	1	1
YKR075C	AY557911	II	1	1
YKR076W		III	1	1
YKR077W	AY557922	II	0	1
YKR078W	DQ332715	II	1	1
YKR079C		III	1	1
YKR080W	EF058823	II	1	1
YKR081C	DQ331493	II	1	1
YKR082W	EF058846	II	1	1
YKR083C	AY558397	II	1	1
YKR084C		III	1	1
YKR085C	DQ331687	II	1	1
YKR086W		III	1	1
YKR087C	EF058573	II	1	1
YKR088C	AY557916	II	1	1
YKR089C	EF058583	II	1	1
YKR090W	DQ331328	II	1	1
YKR091W	AY558318	II	0	1
YKR092C	DQ331920	II	1	1
YKR093W	EF059087	II	1	1
YKR094C		III	0	1
YKR095W		III	0	0
YKR095W-A	EF058750	II	1	1
YKR096W	EF058335	II	0	1
YKR097W	AY723843	II	1	1
YKR098C	EF059266	II	1	1
YKR099W	DQ332275	II	0	1
YKR100C	EF058494	II	1	1
YKR101W	EF058935	II	1	1
YKR102W	EF058946	II	1	1
YKR103W	DQ331747	II	1	1
YKR104W	AY557949	II	1	1
YKR105C		III	1	0
YKR106W		III	1	1
YLL067C		III	0	0
YLL066W-B	DQ331404	II	1	1
YLL066C		III	0	0
YLL063C	EF058860	II	1	1
YLL062C	AY558194	II	1	1
YLL061W	DQ331526	II	1	1
YLL060C	AY557940	II	1	1
YLL058W	DQ331212	II	1	1
YLL057C	AY692737	II	1	1
YLL056C	AY558193	II	1	1
YLL055W	AY692634	II	1	1
YLL054C	AY692619	II	1	1
YLL053C		II	1	1
YLL052C	DQ332435	II	1	1
YLL051C	DQ332289	II	1	1
YLL050C		III	1	1
YLL049W	EF058388	II	1	1
YLL048C		III	0	0
YLL046C		III	1	1
YLL045C	DQ332247	II	1	1
YLL043W	EF058412	II	1	1
YLL042C	AY558190	II	1	1
YLL041C	AY558189	II	0	1
YLL040C		III	0	0
YLL039C	EF059082	II	1	1
YLL038C	AY558191	II	1	1
YLL036C		III	1	0
YLL035W	DQ331834	II	1	1
YLL034C	EF059000	II	1	1
YLL033W	AY558188	II	1	1
YLL032C		III	0	1
YLL031C		III	1	1
YLL030C	AY558192	II	1	1
YLL029W	DQ332731	II	0	1
YLL028W	DQ332164	II	1	1
YLL027W	DQ332030	II	1	1
YLL026W	AY693002	II	1	1
YLL025W	AY692734	II	1	1
YLL024C		II	1	1
YLL023C	EF058596	II	1	1
YLL022C	DQ331337	II	1	1
YLL021W	DQ331856	II	1	1
YLL019C	DQ332501	II	0	1
YLL018C-A		III	1	1
YLL018C	DQ333129	II	1	1
YLL015W		III	0	0
YLL014W	AY557926	II	1	1
YLL013C		III	0	0
YLL012W		II	0	1
YLL011W	DQ333007	II	1	1
YLL010C	EF059065	II	1	1
YLL009C	EF059085	II	1	1
YLL008W		III	1	1
YLL007C	EF058563	II	1	1
YLL006W-A	EF058707	II	0	1
YLL006W	EF058982	II	1	1
YLL005C	EF058975	II	1	1
YLL004W	DQ331763	II	1	1
YLL003W	EF058892	II	1	1
YLL002W	DQ331632	II	1	1
YLL001W		III	1	1
YLR001C	DQ331247	II	1	1
YLR002C	DQ332866	II	1	1
YLR003C	DQ332778	II	1	1
YLR004C	DQ331314	II	1	1
YLR005W	AY692893	II	1	1
YLR006C	DQ331804	II	1	1
YLR007W	DQ331814	II	1	1
YLR008C	AY558196	II	1	1
YLR009W	AY558197	II	1	1
YLR010C	AY558198	II	1	1
YLR011W	AY558199	II	1	1
YLR012C	AY558200	II	1	1
YLR013W	AY558530	II	1	1
