orf_name_X	orf_name_Y	gene_name_X	gene_name_Y	orientation	source_dataset	Y2H_v1	Y2H_v4
YJL089W	YLR330W	SIP4	CHS5	DB-X AD-Y	scRRSv2	Autoactivator	Autoactivator
YJL089W	YLR330W	SIP4	CHS5	DB-Y AD-X	scRRSv2	Negative	Negative
YLR435W	YGL079W	TSR2	KXD1	DB-X AD-Y	scRRSv2	Negative	Autoactivator
YLR435W	YGL079W	TSR2	KXD1	DB-Y AD-X	scRRSv2	Autoactivator	Autoactivator
YMR181C	YDL217C	YMR181C	TIM22	DB-X AD-Y	scRRSv2	Negative	Autoactivator
YMR181C	YDL217C	YMR181C	TIM22	DB-Y AD-X	scRRSv2	Negative	Negative
YNL092W	YDR443C	YNL092W	SSN2	DB-X AD-Y	scRRSv2	Negative	Autoactivator
YNL092W	YDR443C	YNL092W	SSN2	DB-Y AD-X	scRRSv2	Autoactivator	Autoactivator
YCL059C	YOR128C	KRR1	ADE2	DB-X AD-Y	scRRSv2	Negative	Negative
YCL059C	YOR128C	KRR1	ADE2	DB-Y AD-X	scRRSv2	Negative	Negative
YGL209W	YJL025W	MIG2	RRN7	DB-X AD-Y	scRRSv2	Negative	Negative
YGL209W	YJL025W	MIG2	RRN7	DB-Y AD-X	scRRSv2	Negative	Negative
YDR026C	YOR178C	NSI1	GAC1	DB-X AD-Y	scRRSv2	Negative	Test failed
YDR026C	YOR178C	NSI1	GAC1	DB-Y AD-X	scRRSv2	Autoactivator	Autoactivator
YHR084W	YHR208W	STE12	BAT1	DB-X AD-Y	scRRSv2	Negative	Autoactivator
YHR084W	YHR208W	STE12	BAT1	DB-Y AD-X	scRRSv2	Negative	Negative
YIR021W-A	YJL049W	YIR021W-A	CHM7	DB-X AD-Y	scRRSv2	Negative	Negative
YIR021W-A	YJL049W	YIR021W-A	CHM7	DB-Y AD-X	scRRSv2	Negative	Negative
YDR540C	YDR100W	IRC4	TVP15	DB-X AD-Y	scRRSv2	Negative	Test failed
YDR540C	YDR100W	IRC4	TVP15	DB-Y AD-X	scRRSv2	Failed sequence confirmation	Negative
YBR272C	YCR007C	HSM3	YCR007C	DB-X AD-Y	scRRSv2	Negative	Negative
YBR272C	YCR007C	HSM3	YCR007C	DB-Y AD-X	scRRSv2	Autoactivator	Autoactivator
YNL075W	YOR166C	IMP4	SWT1	DB-X AD-Y	scRRSv2	Negative	Negative
YNL075W	YOR166C	IMP4	SWT1	DB-Y AD-X	scRRSv2	Autoactivator	Autoactivator
YFL060C	YKL161C	SNO3	KDX1	DB-X AD-Y	scRRSv2	Negative	Negative
YFL060C	YKL161C	SNO3	KDX1	DB-Y AD-X	scRRSv2	Autoactivator	Autoactivator
YKR010C	YOR358W	TOF2	HAP5	DB-X AD-Y	scRRSv2	Negative	Negative
YKR010C	YOR358W	TOF2	HAP5	DB-Y AD-X	scRRSv2	Autoactivator	Autoactivator
YBR053C	YDL224C	YBR053C	WHI4	DB-X AD-Y	scRRSv2	Negative	Negative
YBR053C	YDL224C	YBR053C	WHI4	DB-Y AD-X	scRRSv2	Autoactivator	Autoactivator
YMR115W	YCR007C	MGR3	YCR007C	DB-X AD-Y	scRRSv2	Negative	Negative
YMR115W	YCR007C	MGR3	YCR007C	DB-Y AD-X	scRRSv2	Autoactivator	Autoactivator
YHR021W-A	YER122C	ECM12	GLO3	DB-X AD-Y	scRRSv2	Autoactivator	Negative
YHR021W-A	YER122C	ECM12	GLO3	DB-Y AD-X	scRRSv2	Negative	Autoactivator
YDL017W	YHR037W	CDC7	PUT2	DB-X AD-Y	scRRSv2	Autoactivator	Autoactivator
YDL017W	YHR037W	CDC7	PUT2	DB-Y AD-X	scRRSv2	Negative	Negative
YKL093W	YML021C	MBR1	UNG1	DB-X AD-Y	scRRSv2	Autoactivator	Autoactivator
YKL093W	YML021C	MBR1	UNG1	DB-Y AD-X	scRRSv2	Negative	Negative
YMR165C	YNL162W-A	PAH1	YNL162W-A	DB-X AD-Y	scRRSv2	Test failed	Negative
YMR165C	YNL162W-A	PAH1	YNL162W-A	DB-Y AD-X	scRRSv2	Autoactivator	Autoactivator
YDR385W	YER040W	EFT2	GLN3	DB-X AD-Y	scRRSv2	Negative	Negative
YDR385W	YER040W	EFT2	GLN3	DB-Y AD-X	scRRSv2	Negative	Autoactivator
YGL150C	YOR377W	INO80	ATF1	DB-X AD-Y	scRRSv2	Negative	Negative
YGL150C	YOR377W	INO80	ATF1	DB-Y AD-X	scRRSv2	Negative	Autoactivator
YDR492W	YNL330C	IZH1	RPD3	DB-X AD-Y	scRRSv2	Negative	Negative
YDR492W	YNL330C	IZH1	RPD3	DB-Y AD-X	scRRSv2	Negative	Autoactivator
YCL042W	YKL035W	YCL042W	UGP1	DB-X AD-Y	scRRSv2	Negative	Negative
YCL042W	YKL035W	YCL042W	UGP1	DB-Y AD-X	scRRSv2	Negative	Autoactivator
YDR034W-B	YMR294W	YDR034W-B	JNM1	DB-X AD-Y	scRRSv2	Negative	Negative
YDR034W-B	YMR294W	YDR034W-B	JNM1	DB-Y AD-X	scRRSv2	Negative	Autoactivator
YMR294W	YOL015W	JNM1	IRC10	DB-X AD-Y	scRRSv2	Negative	Autoactivator
YMR294W	YOL015W	JNM1	IRC10	DB-Y AD-X	scRRSv2	Negative	Negative
YLR102C	YGL028C	APC9	SCW11	DB-X AD-Y	scRRSv2	Negative	Autoactivator
YLR102C	YGL028C	APC9	SCW11	DB-Y AD-X	scRRSv2	Negative	Negative
YER024W	YML037C	YAT2	YML037C	DB-X AD-Y	scRRSv2	Negative	Negative
YER024W	YML037C	YAT2	YML037C	DB-Y AD-X	scRRSv2	Autoactivator	Autoactivator
YGR017W	YJL088W	YGR017W	ARG3	DB-X AD-Y	scRRSv2	Negative	Negative
YGR017W	YJL088W	YGR017W	ARG3	DB-Y AD-X	scRRSv2	Negative	Autoactivator
YFL029C	YBR182C-A	CAK1	YBR182C-A	DB-X AD-Y	scRRSv2	Test failed	Autoactivator
